From,Status,Talking
Kleber Tavares - Vendas Diretas (5476),Answered,00:22:39
Kleber Tavares - Vendas Diretas (7029),Answered,00:54:34
Kleber Tavares - Vendas Diretas (8204),Answered,00:27:18
Kleber Tavares - Vendas Diretas (4060),Answered,00:23:08
Kleber Tavares - Vendas Diretas (9151),Answered,00:47:14
Laura Menezes - Cursos de Ortodontia (5369),Answered,00:35:26
Laura Menezes - Cursos de Ortodontia (7955),Answered,00:49:38
Laura Menezes - Cursos de Ortodontia (3956),Unanswered,00:29:23
Laura Menezes - Cursos de Ortodontia (6262),Answered,00:20:03
Laura Menezes - Cursos de Ortodontia (6372),Unanswered,00:05:27
Laura Menezes - Cursos de Ortodontia (6021),Answered,00:20:10
Laura Menezes - Cursos de Ortodontia (7981),Answered,00:41:08
Laura Menezes - Cursos de Ortodontia (8272),Answered,00:47:05
Laura Menezes - Cursos de Ortodontia (1693),Unanswered,00:30:31
Laura Menezes - Cursos de Ortodontia (6776),Unanswered,00:59:23
Laura Menezes - Cursos de Ortodontia (5498),Unanswered,00:29:41
Laura Menezes - Cursos de Ortodontia (1939),Answered,00:54:01
Laura Menezes - Cursos de Ortodontia (7655),Answered,00:45:49
Laura Menezes - Cursos de Ortodontia (3621),Answered,00:35:01
Laura Menezes - Cursos de Ortodontia (8179),Answered,00:09:44
Márcio Esteves - Cursos de Ortodontia (4866),Unanswered,00:04:35
Márcio Esteves - Cursos de Ortodontia (6933),Answered,00:25:00
Márcio Esteves - Cursos de Ortodontia (1530),Unanswered,00:38:43
Márcio Esteves - Cursos de Ortodontia (8371),Answered,00:10:28
Márcio Esteves - Cursos de Ortodontia (8273),Answered,00:25:23
Natália Cunha - Cursos de Ortodontia (9674),Answered,00:09:23
Natália Cunha - Cursos de Ortodontia (6150),Unanswered,00:27:10
Natália Cunha - Cursos de Ortodontia (5089),Answered,00:19:01
Natália Cunha - Cursos de Ortodontia (4048),Answered,00:01:46
Natália Cunha - Cursos de Ortodontia (7340),Unanswered,00:35:20
Natália Cunha - Cursos de Ortodontia (5288),Answered,00:08:02
Natália Cunha - Cursos de Ortodontia (8311),Answered,00:48:03
Natália Cunha - Cursos de Ortodontia (5678),Unanswered,00:41:46
Natália Cunha - Cursos de Ortodontia (4279),Answered,00:33:31
Natália Cunha - Cursos de Ortodontia (2213),Answered,00:09:15
Natália Cunha - Cursos de Ortodontia (8292),Answered,00:11:47
Natália Cunha - Cursos de Ortodontia (6236),Unanswered,00:55:19
Otávio Braga - Franquias e Credenciados (2063),Unanswered,00:48:26
Otávio Braga - Franquias e Credenciados (5757),Answered,00:37:00
Otávio Braga - Franquias e Credenciados (3580),Unanswered,00:58:07
Otávio Braga - Franquias e Credenciados (3852),Answered,00:48:26
Otávio Braga - Franquias e Credenciados (4673),Answered,00:34:43
Otávio Braga - Franquias e Credenciados (3275),Answered,00:13:43
Otávio Braga - Franquias e Credenciados (9094),Answered,00:53:57
Otávio Braga - Franquias e Credenciados (7044),Answered,00:24:38
Priscila Lemos - Franquias e Credenciados (3126),Unanswered,00:37:39
Priscila Lemos - Franquias e Credenciados (2077),Answered,00:05:53
Priscila Lemos - Franquias e Credenciados (8842),Unanswered,00:27:10
Priscila Lemos - Franquias e Credenciados (7708),Unanswered,00:28:02
Priscila Lemos - Franquias e Credenciados (3053),Answered,00:05:02
Priscila Lemos - Franquias e Credenciados (2215),Answered,00:43:51
Priscila Lemos - Franquias e Credenciados (9476),Answered,00:31:48
Priscila Lemos - Franquias e Credenciados (3981),Answered,00:08:45
Priscila Lemos - Franquias e Credenciados (9238),Answered,00:29:32
Priscila Lemos - Franquias e Credenciados (3034),Unanswered,00:56:45
Priscila Lemos - Franquias e Credenciados (5982),Answered,00:10:26
Priscila Lemos - Franquias e Credenciados (6286),Unanswered,00:11:03
Priscila Lemos - Franquias e Credenciados (6669),Unanswered,00:15:23
Priscila Lemos - Franquias e Credenciados (2292),Answered,00:19:23
Priscila Lemos - Franquias e Credenciados (5496),Answered,00:13:24
Rafael Cardoso - Franquias e Credenciados (9740),Answered,00:20:40
Rafael Cardoso - Franquias e Credenciados (3762),Unanswered,00:34:18
Rafael Cardoso - Franquias e Credenciados (3526),Answered,00:39:38
Rafael Cardoso - Franquias e Credenciados (6531),Unanswered,00:44:58
Rafael Cardoso - Franquias e Credenciados (1464),Answered,00:02:48
Rafael Cardoso - Franquias e Credenciados (5336),Unanswered,00:03:06
Rafael Cardoso - Franquias e Credenciados (7825),Unanswered,00:14:23
Rafael Cardoso - Franquias e Credenciados (1496),Answered,00:43:37
Rafael Cardoso - Franquias e Credenciados (9938),Answered,00:42:48
Rafael Cardoso - Franquias e Credenciados (5949),Answered,00:43:49
Rafael Cardoso - Franquias e Credenciados (7653),Answered,00:16:43
Rafael Cardoso - Franquias e Credenciados (2195),Unanswered,00:30:57
Rafael Cardoso - Franquias e Credenciados (3589),Answered,00:04:05
Sabrina Moura - Franquias e Credenciados (8609),Answered,00:33:03
Sabrina Moura - Franquias e Credenciados (3353),Answered,00:23:13
Sabrina Moura - Franquias e Credenciados (6231),Unanswered,00:58:48
Sabrina Moura - Franquias e Credenciados (6658),Answered,00:58:45
Sabrina Moura - Franquias e Credenciados (7070),Unanswered,00:08:55
Sabrina Moura - Franquias e Credenciados (2739),Answered,00:38:20
Sabrina Moura - Franquias e Credenciados (8642),Answered,00:16:30
Sabrina Moura - Franquias e Credenciados (8366),Answered,00:18:15
Sabrina Moura - Franquias e Credenciados (2586),Answered,00:09:37
Thiago Vieira - Franquias e Credenciados (7850),Answered,00:26:13
Thiago Vieira - Franquias e Credenciados (3616),Answered,00:59:04
Thiago Vieira - Franquias e Credenciados (6123),Answered,00:39:26
Thiago Vieira - Franquias e Credenciados (3610),Answered,00:52:05
Thiago Vieira - Franquias e Credenciados (8648),Answered,00:35:08
Thiago Vieira - Franquias e Credenciados (6055),Answered,01:00:00
Thiago Vieira - Franquias e Credenciados (2475),Answered,00:01:34
Ursula Campos - Franquias e Credenciados (4944),Answered,00:31:12
Ursula Campos - Franquias e Credenciados (6781),Answered,00:39:49
Ursula Campos - Franquias e Credenciados (5609),Answered,00:03:27
Ursula Campos - Franquias e Credenciados (8710),Answered,00:40:47
Ursula Campos - Franquias e Credenciados (1133),Answered,00:36:38
Ursula Campos - Franquias e Credenciados (3194),Answered,00:29:25
Ursula Campos - Franquias e Credenciados (6992),Answered,00:49:39
Ursula Campos - Franquias e Credenciados (1741),Answered,00:24:58
Ursula Campos - Franquias e Credenciados (4189),Answered,00:03:29
Ursula Campos - Franquias e Credenciados (5728),Answered,00:37:46
Ursula Campos - Franquias e Credenciados (9261),Answered,00:26:22
Vanda Freitas - Franquias e Credenciados (5582),Unanswered,00:37:32
Vanda Freitas - Franquias e Credenciados (2946),Answered,00:46:26
Vanda Freitas - Franquias e Credenciados (7453),Answered,00:06:36
Vanda Freitas - Franquias e Credenciados (6555),Unanswered,00:54:15
Vanda Freitas - Franquias e Credenciados (3363),Answered,00:24:57
Vanda Freitas - Franquias e Credenciados (9341),Answered,00:41:07
Vanda Freitas - Franquias e Credenciados (1659),Answered,00:34:08
Vanda Freitas - Franquias e Credenciados (3245),Unanswered,00:02:39
Vanda Freitas - Franquias e Credenciados (8761),Unanswered,00:22:44
Vanda Freitas - Franquias e Credenciados (3440),Unanswered,00:31:11
Vanda Freitas - Franquias e Credenciados (3290),Answered,00:35:11
Vanda Freitas - Franquias e Credenciados (6218),Answered,00:41:51
Vanda Freitas - Franquias e Credenciados (5902),Unanswered,00:26:49
Vanda Freitas - Franquias e Credenciados (9311),Unanswered,00:22:57
Vanda Freitas - Franquias e Credenciados (9025),Unanswered,00:36:20
Wilson Paz - Franquias e Credenciados (8780),Answered,00:20:27
Wilson Paz - Franquias e Credenciados (6427),Unanswered,00:25:08
Wilson Paz - Franquias e Credenciados (7824),Unanswered,00:07:28
Wilson Paz - Franquias e Credenciados (1436),Unanswered,00:21:00
Wilson Paz - Franquias e Credenciados (5350),Unanswered,00:32:23
Wilson Paz - Franquias e Credenciados (4728),Unanswered,00:53:26
Wilson Paz - Franquias e Credenciados (8871),Answered,00:03:30
Wilson Paz - Franquias e Credenciados (7229),Answered,00:35:47
Wilson Paz - Franquias e Credenciados (4968),Answered,00:56:05
Wilson Paz - Franquias e Credenciados (2800),Answered,00:39:05
Wilson Paz - Franquias e Credenciados (8225),Answered,00:01:17
Wilson Paz - Franquias e Credenciados (3481),Answered,00:28:35
Xavier Ramos - Myobrace (7723),Unanswered,00:13:55
Xavier Ramos - Myobrace (8726),Unanswered,00:52:54
Xavier Ramos - Myobrace (2020),Unanswered,00:49:39
Xavier Ramos - Myobrace (9498),Answered,00:09:25
Xavier Ramos - Myobrace (6325),Unanswered,00:38:17
Xavier Ramos - Myobrace (9609),Answered,00:32:39
Xavier Ramos - Myobrace (3837),Answered,00:21:25
Xavier Ramos - Myobrace (6608),Unanswered,00:36:23
Xavier Ramos - Myobrace (5331),Unanswered,00:24:11
Xavier Ramos - Myobrace (4150),Answered,00:33:03
Xavier Ramos - Myobrace (5890),Answered,00:19:02
Xavier Ramos - Myobrace (5735),Unanswered,00:20:19
Xavier Ramos - Myobrace (9011),Answered,00:14:09
Xavier Ramos - Myobrace (6714),Unanswered,00:32:45
Yara Pinheiro - Myobrace (5480),Answered,00:49:15
Yara Pinheiro - Myobrace (9899),Answered,00:08:19
Yara Pinheiro - Myobrace (6654),Answered,00:26:56
Yara Pinheiro - Myobrace (1689),Answered,00:19:49
Yara Pinheiro - Myobrace (2294),Answered,00:48:45
Yara Pinheiro - Myobrace (5201),Unanswered,00:30:11
Yara Pinheiro - Myobrace (4505),Answered,00:32:42
Yara Pinheiro - Myobrace (9824),Answered,00:56:31
Yara Pinheiro - Myobrace (5450),Answered,00:38:22
Yara Pinheiro - Myobrace (4920),Answered,00:07:27
Yara Pinheiro - Myobrace (9700),Answered,00:03:27
Yara Pinheiro - Myobrace (4814),Answered,00:43:33
Yara Pinheiro - Myobrace (7771),Answered,00:06:50
Yara Pinheiro - Myobrace (8739),Answered,00:48:58
Yara Pinheiro - Myobrace (3252),Answered,00:46:30
Zilda Correia - Myobrace (7666),Unanswered,00:10:46
Zilda Correia - Myobrace (8793),Answered,00:59:57
Zilda Correia - Myobrace (4267),Answered,00:44:24
Zilda Correia - Myobrace (5676),Unanswered,00:21:55
Zilda Correia - Myobrace (2465),Unanswered,00:04:02
Zilda Correia - Myobrace (4804),Unanswered,00:39:11
Zilda Correia - Myobrace (1611),Answered,00:50:25
Zilda Correia - Myobrace (3880),Answered,00:28:31
Zilda Correia - Myobrace (7504),Answered,00:57:05
Zilda Correia - Myobrace (5742),Answered,00:12:43
Zilda Correia - Myobrace (5888),Unanswered,00:00:37
André Lacerda - Myobrace (6489),Answered,00:07:19
André Lacerda - Myobrace (9901),Unanswered,00:31:01
André Lacerda - Myobrace (3198),Unanswered,00:33:43
André Lacerda - Myobrace (5470),Answered,00:31:57
André Lacerda - Myobrace (2845),Answered,00:55:12
André Lacerda - Myobrace (8518),Unanswered,00:11:05
André Lacerda - Myobrace (4050),Answered,00:17:33
André Lacerda - Myobrace (6523),Answered,00:50:17
André Lacerda - Myobrace (4164),Answered,00:38:45
André Lacerda - Myobrace (7643),Answered,00:41:42
André Lacerda - Myobrace (6372),Answered,00:35:10
André Lacerda - Myobrace (2562),Answered,00:27:21
Bruna Guimarães - Myobrace (6301),Answered,00:32:35
Bruna Guimarães - Myobrace (5272),Answered,00:00:27
Bruna Guimarães - Myobrace (8319),Answered,00:16:04
Bruna Guimarães - Myobrace (5947),Unanswered,00:22:30
Bruna Guimarães - Myobrace (1187),Answered,00:49:20
Cláudio Mesquita - Myobrace (4871),Answered,00:24:32
Cláudio Mesquita - Myobrace (2936),Answered,00:45:35
Cláudio Mesquita - Myobrace (3616),Answered,00:20:56
Cláudio Mesquita - Myobrace (9233),Unanswered,00:46:50
Cláudio Mesquita - Myobrace (6095),Unanswered,00:52:33
Cláudio Mesquita - Myobrace (5833),Answered,00:08:00
Cláudio Mesquita - Myobrace (4618),Answered,00:41:57
Cláudio Mesquita - Myobrace (8834),Answered,00:09:07
Cláudio Mesquita - Myobrace (7121),Answered,00:31:03
Cláudio Mesquita - Myobrace (9998),Answered,00:47:55
Cláudio Mesquita - Myobrace (9806),Unanswered,00:51:42
Cláudio Mesquita - Myobrace (4578),Answered,00:56:21
Cláudio Mesquita - Myobrace (2341),Unanswered,00:46:26
Diana Rocha - Myobrace (6927),Answered,00:36:03
Diana Rocha - Myobrace (2838),Answered,00:38:30
Diana Rocha - Myobrace (9972),Unanswered,00:56:34
Diana Rocha - Myobrace (9792),Answered,00:13:48
Diana Rocha - Myobrace (6375),Unanswered,00:11:13
Diana Rocha - Myobrace (2904),Unanswered,00:30:09
Diana Rocha - Myobrace (9008),Answered,00:14:01
Diana Rocha - Myobrace (8298),Answered,00:34:50
Diana Rocha - Myobrace (3161),Unanswered,00:30:57
Diana Rocha - Myobrace (8484),Unanswered,00:28:21
Emerson Teles - Myobrace (8575),Unanswered,00:38:08
Emerson Teles - Myobrace (6049),Unanswered,00:55:05
Emerson Teles - Myobrace (7487),Answered,00:01:29
Flávia Andrade - Grandes Clínicas (4570),Unanswered,00:50:54
Flávia Andrade - Grandes Clínicas (1742),Answered,00:04:59
Flávia Andrade - Grandes Clínicas (2044),Unanswered,00:23:31
Gustavo Peixoto - Grandes Clínicas (8734),Answered,00:04:42
Gustavo Peixoto - Grandes Clínicas (7698),Answered,00:19:35
Gustavo Peixoto - Grandes Clínicas (3218),Unanswered,00:52:29
Iara Sampaio - Grandes Clínicas (7887),Answered,00:44:05
Iara Sampaio - Grandes Clínicas (8348),Answered,00:26:06
Iara Sampaio - Grandes Clínicas (2314),Unanswered,00:25:38
Iara Sampaio - Grandes Clínicas (9835),Answered,00:45:10
Iara Sampaio - Grandes Clínicas (6697),Answered,00:44:36
Iara Sampaio - Grandes Clínicas (9802),Answered,00:12:11
Iara Sampaio - Grandes Clínicas (3086),Unanswered,00:36:06
Iara Sampaio - Grandes Clínicas (1056),Answered,00:15:12
Iara Sampaio - Grandes Clínicas (8585),Unanswered,00:20:22
Iara Sampaio - Grandes Clínicas (9920),Answered,00:49:05
Iara Sampaio - Grandes Clínicas (7214),Answered,00:36:18
Iara Sampaio - Grandes Clínicas (8546),Answered,00:16:53
Iara Sampaio - Grandes Clínicas (5516),Answered,00:10:35
Iara Sampaio - Grandes Clínicas (2848),Answered,00:59:44
Jonas Carvalho - Grandes Clínicas (7868),Unanswered,00:45:04
Jonas Carvalho - Grandes Clínicas (1256),Answered,00:52:17
Jonas Carvalho - Grandes Clínicas (2102),Answered,00:14:04
Jonas Carvalho - Grandes Clínicas (1550),Answered,00:40:32
Jonas Carvalho - Grandes Clínicas (1797),Answered,00:40:48
Jonas Carvalho - Grandes Clínicas (1724),Answered,00:50:33
Jonas Carvalho - Grandes Clínicas (4839),Unanswered,00:29:57
Jonas Carvalho - Grandes Clínicas (1924),Answered,00:14:49
Jonas Carvalho - Grandes Clínicas (5739),Answered,00:34:23
Jonas Carvalho - Grandes Clínicas (6224),Unanswered,00:55:41
Jonas Carvalho - Grandes Clínicas (6253),Answered,00:40:49
Jonas Carvalho - Grandes Clínicas (3347),Unanswered,00:20:36
Jonas Carvalho - Grandes Clínicas (4621),Answered,00:35:35
Jonas Carvalho - Grandes Clínicas (5508),Answered,00:20:30
Jonas Carvalho - Grandes Clínicas (3869),Unanswered,00:38:00
Karen Magalhães - Grandes Clínicas (9120),Answered,00:29:09
Karen Magalhães - Grandes Clínicas (7244),Unanswered,00:23:30
Karen Magalhães - Grandes Clínicas (7821),Answered,00:21:45
Karen Magalhães - Grandes Clínicas (5913),Answered,00:10:11
Karen Magalhães - Grandes Clínicas (9813),Answered,00:12:33
Karen Magalhães - Grandes Clínicas (4692),Answered,00:16:27
Karen Magalhães - Grandes Clínicas (3365),Answered,00:58:32
Karen Magalhães - Grandes Clínicas (7761),Answered,00:03:56
Karen Magalhães - Grandes Clínicas (9683),Answered,00:38:02
Karen Magalhães - Grandes Clínicas (4978),Answered,00:26:30
Karen Magalhães - Grandes Clínicas (6411),Unanswered,00:13:52
Karen Magalhães - Grandes Clínicas (8369),Answered,00:05:23
Karen Magalhães - Grandes Clínicas (9775),Unanswered,00:06:18
Leandro Souza - Grandes Clínicas (5398),Answered,00:03:31
Leandro Souza - Grandes Clínicas (1647),Answered,00:45:59
Leandro Souza - Grandes Clínicas (4555),Answered,00:12:50
Leandro Souza - Grandes Clínicas (6455),Answered,00:14:15
Leandro Souza - Grandes Clínicas (4470),Answered,00:01:02
Leandro Souza - Grandes Clínicas (2922),Unanswered,00:50:37
Mônica Ferraz - Grandes Clínicas (4974),Unanswered,00:32:41
Mônica Ferraz - Grandes Clínicas (4350),Answered,00:41:15
Mônica Ferraz - Grandes Clínicas (6269),Answered,00:16:20
Mônica Ferraz - Grandes Clínicas (8639),Unanswered,00:25:59
Mônica Ferraz - Grandes Clínicas (6886),Answered,00:44:17
Mônica Ferraz - Grandes Clínicas (6892),Unanswered,00:17:51
Mônica Ferraz - Grandes Clínicas (8635),Answered,00:33:56
Mônica Ferraz - Grandes Clínicas (8692),Answered,00:54:48
Mônica Ferraz - Grandes Clínicas (7073),Answered,00:13:52
Mônica Ferraz - Grandes Clínicas (1749),Unanswered,00:28:15
Mônica Ferraz - Grandes Clínicas (4625),Unanswered,00:58:59
Mônica Ferraz - Grandes Clínicas (1265),Answered,00:09:57
Mônica Ferraz - Grandes Clínicas (7841),Answered,00:37:46
Mônica Ferraz - Grandes Clínicas (4214),Answered,00:10:24
Mônica Ferraz - Grandes Clínicas (7223),Unanswered,00:15:42
Nuno Batista - Grandes Clínicas (6530),Answered,00:34:05
Nuno Batista - Grandes Clínicas (9005),Unanswered,00:52:06
Nuno Batista - Grandes Clínicas (9037),Answered,00:43:48
Nuno Batista - Grandes Clínicas (6770),Answered,00:11:29
Nuno Batista - Grandes Clínicas (9954),Answered,00:09:33
Nuno Batista - Grandes Clínicas (9882),Unanswered,00:12:33
