From,Status,Talking
Iago Monteiro - Vendas Diretas (6446),Unanswered,00:23:33
Iago Monteiro - Vendas Diretas (9903),Answered,00:52:04
Juliana Prado - Vendas Diretas (4090),Unanswered,00:21:58
Juliana Prado - Vendas Diretas (7274),Answered,00:16:18
Juliana Prado - Vendas Diretas (7730),Answered,00:58:26
Juliana Prado - Vendas Diretas (8749),Unanswered,00:21:43
Juliana Prado - Vendas Diretas (7246),Answered,00:55:23
Juliana Prado - Vendas Diretas (3492),Answered,00:45:18
Juliana Prado - Vendas Diretas (3068),Unanswered,00:02:31
Juliana Prado - Vendas Diretas (6439),Answered,00:40:17
Juliana Prado - Vendas Diretas (8213),Answered,00:59:40
Juliana Prado - Vendas Diretas (8486),Answered,00:35:54
Kleber Tavares - Vendas Diretas (7717),Unanswered,00:09:50
Kleber Tavares - Vendas Diretas (2225),Answered,00:10:32
Kleber Tavares - Vendas Diretas (5342),Answered,00:53:21
Kleber Tavares - Vendas Diretas (7512),Unanswered,00:42:32
Kleber Tavares - Vendas Diretas (6383),Unanswered,00:05:28
Kleber Tavares - Vendas Diretas (9742),Answered,00:58:39
Kleber Tavares - Vendas Diretas (8994),Unanswered,00:21:37
Kleber Tavares - Vendas Diretas (2121),Answered,00:02:27
Kleber Tavares - Vendas Diretas (5708),Answered,00:43:05
Kleber Tavares - Vendas Diretas (2480),Answered,00:50:58
Kleber Tavares - Vendas Diretas (2646),Answered,00:06:43
Kleber Tavares - Vendas Diretas (5906),Answered,00:11:21
Kleber Tavares - Vendas Diretas (6314),Answered,00:03:08
Kleber Tavares - Vendas Diretas (6873),Answered,00:20:01
Laura Menezes - Cursos de Ortodontia (5000),Unanswered,00:09:56
Laura Menezes - Cursos de Ortodontia (3950),Answered,00:28:07
Laura Menezes - Cursos de Ortodontia (2293),Unanswered,00:11:57
Laura Menezes - Cursos de Ortodontia (7267),Unanswered,00:59:26
Laura Menezes - Cursos de Ortodontia (4945),Answered,00:46:38
Laura Menezes - Cursos de Ortodontia (3344),Answered,00:39:48
Laura Menezes - Cursos de Ortodontia (5161),Answered,00:31:28
Laura Menezes - Cursos de Ortodontia (1153),Answered,00:17:25
Laura Menezes - Cursos de Ortodontia (9955),Answered,00:19:38
Márcio Esteves - Cursos de Ortodontia (6661),Unanswered,00:30:09
Márcio Esteves - Cursos de Ortodontia (7951),Unanswered,00:20:25
Márcio Esteves - Cursos de Ortodontia (8484),Answered,00:17:04
Márcio Esteves - Cursos de Ortodontia (7302),Answered,00:13:35
Natália Cunha - Cursos de Ortodontia (7248),Unanswered,00:16:11
Natália Cunha - Cursos de Ortodontia (5847),Unanswered,00:24:30
Natália Cunha - Cursos de Ortodontia (1359),Unanswered,00:20:09
Natália Cunha - Cursos de Ortodontia (5497),Answered,00:27:01
Otávio Braga - Franquias e Credenciados (1803),Unanswered,00:59:03
Otávio Braga - Franquias e Credenciados (9138),Answered,00:50:52
Otávio Braga - Franquias e Credenciados (4770),Unanswered,00:52:57
Otávio Braga - Franquias e Credenciados (6772),Answered,00:54:44
Otávio Braga - Franquias e Credenciados (4115),Unanswered,00:43:27
Otávio Braga - Franquias e Credenciados (3240),Unanswered,00:17:06
Otávio Braga - Franquias e Credenciados (1645),Answered,00:06:37
Otávio Braga - Franquias e Credenciados (8222),Answered,00:53:50
Otávio Braga - Franquias e Credenciados (6977),Unanswered,00:39:33
Otávio Braga - Franquias e Credenciados (2476),Answered,00:08:58
Otávio Braga - Franquias e Credenciados (7807),Answered,00:22:18
Otávio Braga - Franquias e Credenciados (3165),Unanswered,00:13:42
Priscila Lemos - Franquias e Credenciados (9221),Answered,00:36:14
Priscila Lemos - Franquias e Credenciados (3695),Answered,00:56:41
Priscila Lemos - Franquias e Credenciados (8894),Answered,00:56:17
Priscila Lemos - Franquias e Credenciados (6549),Answered,00:50:57
Priscila Lemos - Franquias e Credenciados (2233),Answered,00:31:58
Priscila Lemos - Franquias e Credenciados (4696),Unanswered,00:51:29
Priscila Lemos - Franquias e Credenciados (7511),Unanswered,00:49:26
Priscila Lemos - Franquias e Credenciados (2479),Answered,00:24:58
Rafael Cardoso - Franquias e Credenciados (9791),Answered,00:18:03
Rafael Cardoso - Franquias e Credenciados (7038),Unanswered,00:31:02
Rafael Cardoso - Franquias e Credenciados (5295),Unanswered,00:51:07
Sabrina Moura - Franquias e Credenciados (7086),Answered,00:56:08
Sabrina Moura - Franquias e Credenciados (4830),Answered,00:46:04
Sabrina Moura - Franquias e Credenciados (6374),Unanswered,00:01:42
Sabrina Moura - Franquias e Credenciados (2035),Unanswered,00:15:06
Sabrina Moura - Franquias e Credenciados (8606),Unanswered,00:56:14
Sabrina Moura - Franquias e Credenciados (7689),Answered,00:20:37
Sabrina Moura - Franquias e Credenciados (1742),Answered,00:09:32
Sabrina Moura - Franquias e Credenciados (9071),Answered,00:20:46
Sabrina Moura - Franquias e Credenciados (4846),Unanswered,00:06:38
Thiago Vieira - Franquias e Credenciados (8432),Answered,00:26:31
Thiago Vieira - Franquias e Credenciados (9850),Answered,00:45:46
Thiago Vieira - Franquias e Credenciados (3531),Answered,00:40:05
Thiago Vieira - Franquias e Credenciados (2622),Answered,00:44:42
Thiago Vieira - Franquias e Credenciados (7686),Answered,00:42:01
Ursula Campos - Franquias e Credenciados (7070),Answered,00:47:07
Ursula Campos - Franquias e Credenciados (8285),Answered,00:30:16
Ursula Campos - Franquias e Credenciados (6942),Answered,00:58:23
Vanda Freitas - Franquias e Credenciados (9920),Unanswered,00:25:04
Vanda Freitas - Franquias e Credenciados (1992),Answered,00:24:29
Vanda Freitas - Franquias e Credenciados (4109),Answered,00:18:50
Vanda Freitas - Franquias e Credenciados (8450),Answered,00:57:53
Vanda Freitas - Franquias e Credenciados (4475),Unanswered,00:45:14
Vanda Freitas - Franquias e Credenciados (1349),Answered,00:43:39
Vanda Freitas - Franquias e Credenciados (6464),Answered,00:53:42
Vanda Freitas - Franquias e Credenciados (4362),Answered,00:08:35
Vanda Freitas - Franquias e Credenciados (4394),Unanswered,00:56:38
Vanda Freitas - Franquias e Credenciados (4817),Answered,00:14:44
Vanda Freitas - Franquias e Credenciados (3417),Unanswered,00:52:51
Vanda Freitas - Franquias e Credenciados (5542),Answered,00:00:11
Vanda Freitas - Franquias e Credenciados (9850),Answered,00:08:52
Wilson Paz - Franquias e Credenciados (2801),Unanswered,00:11:54
Wilson Paz - Franquias e Credenciados (1422),Answered,00:59:08
Wilson Paz - Franquias e Credenciados (6869),Answered,00:01:00
Wilson Paz - Franquias e Credenciados (6304),Answered,00:40:11
Wilson Paz - Franquias e Credenciados (5347),Answered,00:11:53
Wilson Paz - Franquias e Credenciados (7897),Unanswered,00:08:39
Wilson Paz - Franquias e Credenciados (2041),Answered,00:07:45
Wilson Paz - Franquias e Credenciados (6931),Unanswered,00:30:36
Wilson Paz - Franquias e Credenciados (2786),Answered,00:40:31
Wilson Paz - Franquias e Credenciados (4629),Unanswered,00:34:23
Wilson Paz - Franquias e Credenciados (9543),Answered,00:02:57
Wilson Paz - Franquias e Credenciados (1510),Answered,00:31:16
Wilson Paz - Franquias e Credenciados (7580),Answered,00:32:41
Wilson Paz - Franquias e Credenciados (2768),Answered,00:46:50
Wilson Paz - Franquias e Credenciados (8267),Answered,00:48:37
Xavier Ramos - Myobrace (3430),Answered,00:21:59
Xavier Ramos - Myobrace (5505),Unanswered,00:08:36
Xavier Ramos - Myobrace (9984),Unanswered,00:43:13
Xavier Ramos - Myobrace (7240),Unanswered,00:22:11
Yara Pinheiro - Myobrace (8433),Unanswered,00:20:07
Yara Pinheiro - Myobrace (8048),Answered,00:41:19
Yara Pinheiro - Myobrace (2874),Unanswered,00:54:08
Yara Pinheiro - Myobrace (4522),Answered,00:44:26
Yara Pinheiro - Myobrace (4743),Answered,00:30:49
Yara Pinheiro - Myobrace (8430),Answered,00:23:08
Yara Pinheiro - Myobrace (2557),Answered,00:28:23
Yara Pinheiro - Myobrace (6120),Unanswered,00:29:08
Yara Pinheiro - Myobrace (7132),Answered,00:17:24
Yara Pinheiro - Myobrace (8770),Answered,00:46:53
Yara Pinheiro - Myobrace (2398),Answered,00:06:13
Zilda Correia - Myobrace (7105),Answered,00:06:35
Zilda Correia - Myobrace (1982),Unanswered,00:37:58
Zilda Correia - Myobrace (6400),Unanswered,00:38:20
Zilda Correia - Myobrace (7730),Answered,00:08:20
Zilda Correia - Myobrace (7929),Unanswered,00:59:38
Zilda Correia - Myobrace (5712),Unanswered,00:03:30
Zilda Correia - Myobrace (6761),Answered,00:21:19
Zilda Correia - Myobrace (9313),Answered,00:39:27
Zilda Correia - Myobrace (8900),Answered,00:10:33
André Lacerda - Myobrace (7022),Answered,00:23:54
André Lacerda - Myobrace (5564),Unanswered,00:52:03
André Lacerda - Myobrace (8030),Unanswered,00:15:26
André Lacerda - Myobrace (1430),Unanswered,00:52:23
Bruna Guimarães - Myobrace (5381),Answered,00:56:37
Bruna Guimarães - Myobrace (5477),Unanswered,00:12:18
Bruna Guimarães - Myobrace (6062),Answered,00:52:02
Bruna Guimarães - Myobrace (1100),Answered,00:23:57
Bruna Guimarães - Myobrace (3347),Unanswered,00:59:22
Bruna Guimarães - Myobrace (7566),Answered,00:44:52
Bruna Guimarães - Myobrace (1502),Answered,00:09:41
Bruna Guimarães - Myobrace (9691),Answered,00:50:56
Bruna Guimarães - Myobrace (7878),Answered,00:25:40
Bruna Guimarães - Myobrace (3578),Answered,00:23:16
Bruna Guimarães - Myobrace (6314),Unanswered,00:21:16
Bruna Guimarães - Myobrace (2391),Answered,00:40:42
Bruna Guimarães - Myobrace (3579),Unanswered,00:10:37
Cláudio Mesquita - Myobrace (2336),Answered,00:46:00
Cláudio Mesquita - Myobrace (7947),Answered,00:30:14
Cláudio Mesquita - Myobrace (8242),Answered,00:41:26
Diana Rocha - Myobrace (9394),Answered,00:14:42
Diana Rocha - Myobrace (8043),Answered,00:23:33
Diana Rocha - Myobrace (8972),Unanswered,00:19:20
Diana Rocha - Myobrace (6053),Answered,00:45:32
Diana Rocha - Myobrace (7475),Unanswered,00:15:03
Diana Rocha - Myobrace (1125),Answered,00:03:44
Diana Rocha - Myobrace (4460),Answered,00:20:34
Emerson Teles - Myobrace (5742),Answered,00:17:26
Emerson Teles - Myobrace (1126),Answered,00:08:11
Emerson Teles - Myobrace (8055),Answered,00:50:59
Emerson Teles - Myobrace (7229),Unanswered,00:08:49
Emerson Teles - Myobrace (4770),Unanswered,00:48:02
Emerson Teles - Myobrace (6802),Answered,00:38:08
Emerson Teles - Myobrace (1693),Answered,00:27:06
Emerson Teles - Myobrace (8532),Answered,00:01:16
Emerson Teles - Myobrace (6129),Unanswered,00:58:51
Emerson Teles - Myobrace (7626),Unanswered,00:29:18
Emerson Teles - Myobrace (7843),Answered,00:43:42
Emerson Teles - Myobrace (7636),Answered,00:07:51
Emerson Teles - Myobrace (3815),Unanswered,00:22:10
Emerson Teles - Myobrace (6928),Answered,00:31:24
Emerson Teles - Myobrace (2734),Answered,00:29:48
Flávia Andrade - Grandes Clínicas (7560),Unanswered,00:40:12
Flávia Andrade - Grandes Clínicas (7484),Answered,00:05:22
Flávia Andrade - Grandes Clínicas (6562),Answered,00:50:54
Flávia Andrade - Grandes Clínicas (3754),Answered,00:22:44
Flávia Andrade - Grandes Clínicas (2868),Unanswered,00:34:50
Flávia Andrade - Grandes Clínicas (4176),Answered,00:34:48
Flávia Andrade - Grandes Clínicas (3419),Answered,00:23:58
Flávia Andrade - Grandes Clínicas (3399),Answered,00:07:01
Flávia Andrade - Grandes Clínicas (3842),Unanswered,00:13:28
Gustavo Peixoto - Grandes Clínicas (2234),Answered,00:51:53
Gustavo Peixoto - Grandes Clínicas (9095),Answered,00:52:45
Gustavo Peixoto - Grandes Clínicas (8354),Unanswered,00:51:30
Gustavo Peixoto - Grandes Clínicas (6295),Unanswered,00:38:32
Gustavo Peixoto - Grandes Clínicas (3473),Answered,00:21:34
Iara Sampaio - Grandes Clínicas (8245),Unanswered,00:32:00
Iara Sampaio - Grandes Clínicas (5500),Unanswered,00:20:40
Iara Sampaio - Grandes Clínicas (6766),Unanswered,00:03:50
Iara Sampaio - Grandes Clínicas (6085),Answered,00:05:03
Jonas Carvalho - Grandes Clínicas (1932),Answered,00:02:34
Jonas Carvalho - Grandes Clínicas (5703),Answered,00:56:46
Jonas Carvalho - Grandes Clínicas (2479),Unanswered,00:44:00
Jonas Carvalho - Grandes Clínicas (9307),Answered,00:40:33
Jonas Carvalho - Grandes Clínicas (1672),Answered,00:31:35
Jonas Carvalho - Grandes Clínicas (4084),Answered,00:55:17
Jonas Carvalho - Grandes Clínicas (8792),Unanswered,00:41:18
Jonas Carvalho - Grandes Clínicas (2013),Answered,00:10:17
Jonas Carvalho - Grandes Clínicas (6626),Unanswered,00:07:03
Jonas Carvalho - Grandes Clínicas (9266),Unanswered,00:05:45
Karen Magalhães - Grandes Clínicas (5059),Unanswered,00:02:40
Karen Magalhães - Grandes Clínicas (8199),Unanswered,00:29:53
Karen Magalhães - Grandes Clínicas (3600),Answered,00:35:41
Karen Magalhães - Grandes Clínicas (5634),Answered,00:25:27
Karen Magalhães - Grandes Clínicas (6543),Unanswered,00:27:54
Leandro Souza - Grandes Clínicas (6482),Answered,00:03:34
Leandro Souza - Grandes Clínicas (2548),Unanswered,00:22:30
Leandro Souza - Grandes Clínicas (7333),Answered,00:46:18
Leandro Souza - Grandes Clínicas (3463),Answered,00:17:12
Leandro Souza - Grandes Clínicas (3317),Answered,00:05:33
Leandro Souza - Grandes Clínicas (7421),Answered,00:21:10
Leandro Souza - Grandes Clínicas (2388),Answered,00:40:37
Leandro Souza - Grandes Clínicas (7171),Unanswered,00:38:09
Leandro Souza - Grandes Clínicas (6381),Answered,00:54:02
Leandro Souza - Grandes Clínicas (9624),Answered,00:45:44
Leandro Souza - Grandes Clínicas (7937),Unanswered,00:44:06
Leandro Souza - Grandes Clínicas (1298),Answered,00:24:42
Mônica Ferraz - Grandes Clínicas (4509),Answered,00:12:18
Mônica Ferraz - Grandes Clínicas (8967),Answered,00:52:18
Mônica Ferraz - Grandes Clínicas (3253),Answered,00:15:27
Mônica Ferraz - Grandes Clínicas (5846),Answered,00:05:16
Mônica Ferraz - Grandes Clínicas (9843),Unanswered,00:34:39
Mônica Ferraz - Grandes Clínicas (1618),Unanswered,00:35:56
Mônica Ferraz - Grandes Clínicas (3147),Unanswered,00:22:59
Nuno Batista - Grandes Clínicas (3658),Answered,00:10:31
Nuno Batista - Grandes Clínicas (3712),Unanswered,00:56:45
Nuno Batista - Grandes Clínicas (1715),Answered,00:29:52
Nuno Batista - Grandes Clínicas (4891),Answered,00:24:52
Nuno Batista - Grandes Clínicas (5668),Unanswered,00:41:40
Nuno Batista - Grandes Clínicas (8355),Answered,00:53:30
Nuno Batista - Grandes Clínicas (4918),Answered,00:36:27
Nuno Batista - Grandes Clínicas (8684),Answered,00:55:12
Nuno Batista - Grandes Clínicas (8218),Answered,00:25:06
